name,category,price,price_type,currency,alternative_names,description
Hemoglobina,blood,15.5,normal,RON,Hb;Hemoglobin,Proteina care transporta oxigenul in sange
Hemoglobina,blood,12.0,premium,RON,Hb;Hemoglobin,Proteina care transporta oxigenul in sange
Glicemia,blood,12.0,normal,RON,Glucoza;Glucose,Nivelul zaharului din sange
Glicemia,blood,9.0,premium,RON,Glucoza;Glucose,Nivelul zaharului din sange
Colesterol total,blood,18.0,normal,RON,Cholesterol,Nivelul colesterolului total
Colesterol total,blood,15.0,premium,RON,Cholesterol,Nivelul colesterolului total
Trigliceride,blood,16.0,normal,RON,TG,Lipide din sange
Trigliceride,blood,13.0,premium,RON,TG,Lipide din sange
Creatinina,blood,14.0,normal,RON,Creatinine,Marker al functiei renale
Creatinina,blood,11.0,premium,RON,Creatinine,Marker al functiei renale
Urea,blood,13.0,normal,RON,BUN,Produs de descompunere proteica
Urea,blood,10.0,premium,RON,BUN,Produs de descompunere proteica
Acid uric,blood,15.0,normal,RON,Uric acid,Produs final al metabolismului purinelor
Acid uric,blood,12.0,premium,RON,Uric acid,Produs final al metabolismului purinelor
Bilirubina totala,blood,16.0,normal,RON,Bilirubin,Pigment biliar
Bilirubina totala,blood,13.0,premium,RON,Bilirubin,Pigment biliar
ALT,blood,17.0,normal,RON,ALAT;Alanin aminotransferaza,Enzima hepatica
ALT,blood,14.0,premium,RON,ALAT;Alanin aminotransferaza,Enzima hepatica
AST,blood,17.0,normal,RON,ASAT;Aspartat aminotransferaza,Enzima hepatica
AST,blood,14.0,premium,RON,ASAT;Aspartat aminotransferaza,Enzima hepatica
Fosfataza alcalina,blood,18.0,normal,RON,ALP,Enzima din ficat si oase
Fosfataza alcalina,blood,15.0,premium,RON,ALP,Enzima din ficat si oase
Proteine totale,blood,16.0,normal,RON,Total proteins,Proteinele din ser
Proteine totale,blood,13.0,premium,RON,Total proteins,Proteinele din ser
Albumina,blood,15.0,normal,RON,Albumin,Principala proteina serica
Albumina,blood,12.0,premium,RON,Albumin,Principala proteina serica
Ferul seric,blood,19.0,normal,RON,Iron;Fe,Nivelul fierului din sange
Ferul seric,blood,16.0,premium,RON,Iron;Fe,Nivelul fierului din sange
Feritina,blood,22.0,normal,RON,Ferritin,Forma de depozitare a fierului
Feritina,blood,18.0,premium,RON,Ferritin,Forma de depozitare a fierului
TSH,hormones,25.0,normal,RON,Tirotropina,Hormonul stimulator tiroidian
TSH,hormones,20.0,premium,RON,Tirotropina,Hormonul stimulator tiroidian
T4 liber,hormones,28.0,normal,RON,FT4;Free T4,Hormon tiroidian liber
T4 liber,hormones,23.0,premium,RON,FT4;Free T4,Hormon tiroidian liber
T3 liber,hormones,30.0,normal,RON,FT3;Free T3,Hormon tiroidian liber
T3 liber,hormones,25.0,premium,RON,FT3;Free T3,Hormon tiroidian liber
Vitamina D,vitamins,45.0,normal,RON,25-OH Vitamin D,Vitamina pentru oase
Vitamina D,vitamins,35.0,premium,RON,25-OH Vitamin D,Vitamina pentru oase
Vitamina B12,vitamins,35.0,normal,RON,Cobalamin,Vitamina pentru sistem nervos
Vitamina B12,vitamins,28.0,premium,RON,Cobalamin,Vitamina pentru sistem nervos
Homocisteina,cardiovascular,40.0,normal,RON,Homocysteine,Marker cardiovascular
Homocisteina,cardiovascular,32.0,premium,RON,Homocysteine,Marker cardiovascular
PCR,inflammation,20.0,normal,RON,Proteina C reactiva;CRP,Marker inflamator
PCR,inflammation,16.0,premium,RON,Proteina C reactiva;CRP,Marker inflamator
VSH,inflammation,8.0,normal,RON,Viteza de sedimentare,Test inflamator
VSH,inflammation,6.0,premium,RON,Viteza de sedimentare,Test inflamator
Hemoleucograma,blood,25.0,normal,RON,CBC;Complete blood count,Analiza completa sange
Hemoleucograma,blood,20.0,premium,RON,CBC;Complete blood count,Analiza completa sange
HDL Colesterol,blood,20.0,normal,RON,Good cholesterol,Colesterolul bun
HDL Colesterol,blood,16.0,premium,RON,Good cholesterol,Colesterolul bun
LDL Colesterol,blood,22.0,normal,RON,Bad cholesterol,Colesterolul rau
LDL Colesterol,blood,18.0,premium,RON,Bad cholesterol,Colesterolul rau
HbA1c,diabetes,35.0,normal,RON,Hemoglobina glicata,Marker diabet
HbA1c,diabetes,28.0,premium,RON,Hemoglobina glicata,Marker diabet
Insulina,hormones,30.0,normal,RON,Insulin,Hormon pancreatic
Insulina,hormones,25.0,premium,RON,Insulin,Hormon pancreatic
Cortizol,hormones,32.0,normal,RON,Cortisol,Hormonul stresului
Cortizol,hormones,26.0,premium,RON,Cortisol,Hormonul stresului
Testosteron,hormones,38.0,normal,RON,Testosterone,Hormon masculin
Testosteron,hormones,30.0,premium,RON,Testosterone,Hormon masculin
Estradiol,hormones,35.0,normal,RON,E2,Hormon feminin
Estradiol,hormones,28.0,premium,RON,E2,Hormon feminin
Prolactina,hormones,33.0,normal,RON,Prolactin,Hormonul lactatiei
Prolactina,hormones,26.0,premium,RON,Prolactin,Hormonul lactatiei
FSH,hormones,36.0,normal,RON,Hormon foliculostimulant,Hormon reproductiv
FSH,hormones,29.0,premium,RON,Hormon foliculostimulant,Hormon reproductiv
LH,hormones,34.0,normal,RON,Hormon luteinizant,Hormon reproductiv
LH,hormones,27.0,premium,RON,Hormon luteinizant,Hormon reproductiv